NSU,Referencia,Data Credito,Valor Liquido,Historico
NSU700000,PED-1001,2026-06-29,763.48,CREDITO VENDA CARTAO
NSU700001,PED-1002,2026-06-15,571.24,CREDITO VENDA CARTAO
NSU700002,PED-1003,2026-06-28,839.90,CREDITO VENDA CARTAO
NSU700003,PED-1004,2026-06-22,2471.40,CREDITO VENDA CARTAO
NSU700004,PED-1005,2026-06-19,2543.99,CREDITO VENDA CARTAO
NSU700005,PED-1006,2026-06-25,1802.50,CREDITO VENDA CARTAO
NSU700006,PED-1007,2026-06-13,3854.50,CREDITO VENDA CARTAO
NSU700007,PED-1008,2026-06-05,1455.66,CREDITO VENDA CARTAO
NSU700008,PED-1009,2026-06-10,615.89,CREDITO VENDA CARTAO
NSU700009,PED-1010,2026-06-30,1257.22,CREDITO VENDA CARTAO
NSU700010,PED-1011,2026-06-18,4385.11,CREDITO VENDA CARTAO
NSU700011,PED-1012,2026-06-24,569.03,CREDITO VENDA CARTAO
NSU700012,PED-1013,2026-06-10,1756.64,CREDITO VENDA CARTAO
NSU700013,PED-1014,2026-06-01,530.58,CREDITO VENDA CARTAO
NSU700015,PED-1016,2026-06-20,3621.58,CREDITO VENDA CARTAO
NSU700016,PED-1017,2026-06-08,1195.94,CREDITO VENDA CARTAO
NSU700017,PED-1018,2026-06-30,684.15,CREDITO VENDA CARTAO
NSU700018,PED-1019,2026-06-19,3375.95,CREDITO VENDA CARTAO
NSU700019,PED-1020,2026-06-20,747.30,CREDITO VENDA CARTAO
NSU700020,PED-1021,2026-06-09,239.46,CREDITO VENDA CARTAO
NSU700021,PED-1022,2026-06-13,3383.94,CREDITO VENDA CARTAO
NSU700022,PED-1023,2026-06-12,872.11,CREDITO VENDA CARTAO
NSU700023,PED-1024,2026-06-21,3359.50,CREDITO VENDA CARTAO
NSU700026,PED-1027,2026-06-25,1833.29,CREDITO VENDA CARTAO
NSU700027,PED-1028,2026-06-11,3676.53,CREDITO VENDA CARTAO
NSU700028,PED-1029,2026-06-19,289.30,CREDITO VENDA CARTAO
NSU700029,PED-1030,2026-06-17,2482.85,CREDITO VENDA CARTAO
NSU700030,PED-1031,2026-06-29,3303.72,CREDITO VENDA CARTAO
NSU700031,PED-1032,2026-06-29,1556.75,CREDITO VENDA CARTAO
NSU700032,PED-1033,2026-06-09,594.49,CREDITO VENDA CARTAO
NSU700033,PED-1034,2026-06-10,2842.01,CREDITO VENDA CARTAO
NSU700034,PED-1035,2026-06-13,996.33,CREDITO VENDA CARTAO
NSU700035,PED-1036,2026-06-24,1838.42,CREDITO VENDA CARTAO
NSU700036,PED-1037,2026-06-02,4390.24,CREDITO VENDA CARTAO
NSU700037,PED-1038,2026-06-19,1919.96,CREDITO VENDA CARTAO
NSU700039,PED-1040,2026-06-15,514.29,CREDITO VENDA CARTAO
NSU700040,PED-1041,2026-06-03,3670.42,CREDITO VENDA CARTAO
NSU700041,PED-1042,2026-06-15,1128.76,CREDITO VENDA CARTAO
NSU700042,PED-1043,2026-06-30,704.78,CREDITO VENDA CARTAO
NSU700043,PED-1044,2026-06-22,4062.91,CREDITO VENDA CARTAO
NSU700044,PED-1045,2026-06-01,1726.52,CREDITO VENDA CARTAO
NSU700045,PED-1046,2026-06-17,2142.84,CREDITO VENDA CARTAO
NSU700046,PED-1047,2026-06-07,501.74,CREDITO VENDA CARTAO
NSU700047,PED-1048,2026-06-06,1600.58,CREDITO VENDA CARTAO
NSU700048,PED-1049,2026-06-07,3781.99,CREDITO VENDA CARTAO
NSU700049,PED-1050,2026-06-18,842.84,CREDITO VENDA CARTAO
NSU700050,PED-1051,2026-06-17,813.61,CREDITO VENDA CARTAO
NSU700051,PED-1052,2026-06-08,1454.69,CREDITO VENDA CARTAO
NSU700052,PED-1053,2026-06-28,1797.81,CREDITO VENDA CARTAO
NSU700053,PED-1054,2026-06-18,3536.93,CREDITO VENDA CARTAO
NSU700054,PED-1055,2026-06-13,3208.03,CREDITO VENDA CARTAO
NSU700055,PED-1056,2026-06-26,4413.59,CREDITO VENDA CARTAO
NSU700056,PED-1057,2026-06-07,1311.85,CREDITO VENDA CARTAO
NSU700057,PED-1058,2026-06-25,1897.04,CREDITO VENDA CARTAO
NSU700058,PED-1059,2026-06-28,2493.81,CREDITO VENDA CARTAO
NSU700060,PED-1061,2026-06-28,1844.85,CREDITO VENDA CARTAO
NSU700061,PED-1062,2026-06-28,2498.34,CREDITO VENDA CARTAO
NSU700062,PED-1063,2026-06-08,4719.65,CREDITO VENDA CARTAO
NSU700063,PED-1064,2026-06-02,1404.80,CREDITO VENDA CARTAO
NSU700064,PED-1065,2026-06-11,1528.29,CREDITO VENDA CARTAO
NSU700065,PED-1066,2026-06-24,2258.66,CREDITO VENDA CARTAO
NSU700066,PED-1067,2026-06-07,1915.29,CREDITO VENDA CARTAO
NSU700067,PED-1068,2026-06-10,2603.33,CREDITO VENDA CARTAO
NSU700068,PED-1069,2026-06-01,1675.11,CREDITO VENDA CARTAO
NSU700069,PED-1070,2026-06-12,2478.62,CREDITO VENDA CARTAO
NSU700070,PED-1071,2026-06-23,479.63,CREDITO VENDA CARTAO
NSU700071,PED-1072,2026-06-16,1559.07,CREDITO VENDA CARTAO
NSU700072,PED-1073,2026-06-28,1989.82,CREDITO VENDA CARTAO
NSU700073,PED-1074,2026-06-19,3073.21,CREDITO VENDA CARTAO
NSU700074,PED-1075,2026-06-16,2113.86,CREDITO VENDA CARTAO
NSU700075,PED-1076,2026-06-03,863.02,CREDITO VENDA CARTAO
NSU700076,PED-1077,2026-06-10,1130.62,CREDITO VENDA CARTAO
NSU700077,PED-1078,2026-06-29,4409.37,CREDITO VENDA CARTAO
NSU700078,PED-1079,2026-06-26,2265.75,CREDITO VENDA CARTAO
NSU700079,PED-1080,2026-06-30,2489.89,CREDITO VENDA CARTAO
NSU700080,PED-1081,2026-06-28,499.32,CREDITO VENDA CARTAO
NSU700081,PED-1082,2026-06-18,3694.29,CREDITO VENDA CARTAO
NSU700082,PED-1083,2026-06-07,907.83,CREDITO VENDA CARTAO
NSU700083,PED-1084,2026-06-23,2293.50,CREDITO VENDA CARTAO
NSU700084,PED-1085,2026-06-15,2806.35,CREDITO VENDA CARTAO
NSU700085,PED-1086,2026-06-18,1758.17,CREDITO VENDA CARTAO
NSU700086,PED-1087,2026-06-14,2587.21,CREDITO VENDA CARTAO
NSU700087,PED-1088,2026-06-15,3327.55,CREDITO VENDA CARTAO
NSU700088,PED-1089,2026-06-03,1544.00,CREDITO VENDA CARTAO
NSU700089,PED-1090,2026-06-24,909.13,CREDITO VENDA CARTAO
NSU700090,PED-1091,2026-06-25,2006.67,CREDITO VENDA CARTAO
NSU700091,PED-1092,2026-06-08,3806.47,CREDITO VENDA CARTAO
NSU700092,PED-1093,2026-06-11,1870.58,CREDITO VENDA CARTAO
NSU700093,PED-1094,2026-06-25,589.93,CREDITO VENDA CARTAO
NSU700094,PED-1095,2026-06-17,1627.21,CREDITO VENDA CARTAO
NSU700095,PED-1096,2026-06-07,3216.55,CREDITO VENDA CARTAO
NSU700096,PED-1097,2026-06-03,4585.52,CREDITO VENDA CARTAO
NSU700097,PED-1098,2026-06-02,3712.31,CREDITO VENDA CARTAO
NSU700098,PED-1099,2026-06-12,3006.03,CREDITO VENDA CARTAO
NSU700099,PED-1100,2026-06-21,1958.21,CREDITO VENDA CARTAO
