Pedido;Data Venda;Valor Total;Cliente
PED-1001;29/06/2026;763,48;Restaurante Canto Mineiro
PED-1002;15/06/2026;571,24;Floricultura Jardim
PED-1003;28/06/2026;839,90;Academia Corpo Ativo
PED-1004;22/06/2026;2.471,40;Barbearia Navalha
PED-1005;19/06/2026;2.543,99;Academia Corpo Ativo
PED-1006;25/06/2026;1.802,50;Auto Peças Vinhedo
PED-1007;13/06/2026;3.854,50;Padaria Trigo Dourado
PED-1008;05/06/2026;1.455,66;Mercearia São Jorge
PED-1009;10/06/2026;615,89;Mercearia São Jorge
PED-1010;30/06/2026;1.257,22;Padaria Trigo Dourado
PED-1011;18/06/2026;4.385,11;Barbearia Navalha
PED-1012;24/06/2026;569,06;Studio Pilates Norte
PED-1013;10/06/2026;1.756,64;Clínica Bem Estar
PED-1014;01/06/2026;530,58;Padaria Trigo Dourado
PED-1015;10/06/2026;2.838,79;Clínica Bem Estar
PED-1016;17/06/2026;3.621,58;Óptica Visão Clara
PED-1017;08/06/2026;1.195,94;Livraria Página Viva
PED-1018;30/06/2026;684,15;Óptica Visão Clara
PED-1019;19/06/2026;3.375,95;Óptica Visão Clara
PED-1020;20/06/2026;747,30;Academia Corpo Ativo
PED-1021;09/06/2026;239,46;Floricultura Jardim
PED-1022;13/06/2026;3.383,94;Mercearia São Jorge
PED-1023;12/06/2026;872,11;Pet Shop Focinho Feliz
PED-1024;21/06/2026;3.359,50;Restaurante Canto Mineiro
PED-1025;26/06/2026;2.885,91;Auto Peças Vinhedo
PED-1026;04/06/2026;2.512,03;Óptica Visão Clara
PED-1027;25/06/2026;1.833,29;Pet Shop Focinho Feliz
PED-1028;11/06/2026;3.676,53;Mercearia São Jorge
PED-1029;19/06/2026;289,30;Mercearia São Jorge
PED-1030;17/06/2026;2.482,85;Restaurante Canto Mineiro
PED-1031;29/06/2026;3.303,72;Barbearia Navalha
PED-1032;29/06/2026;1.556,78;Floricultura Jardim
PED-1033;09/06/2026;594,49;Barbearia Navalha
PED-1034;10/06/2026;2.842,01;Livraria Página Viva
PED-1035;13/06/2026;996,36;Auto Peças Vinhedo
PED-1036;24/06/2026;1.838,42;Floricultura Jardim
PED-1037;02/06/2026;4.390,24;Floricultura Jardim
PED-1038;19/06/2026;1.919,96;Mercearia São Jorge
PED-1039;27/06/2026;218,49;Mercearia São Jorge
PED-1040;15/06/2026;514,29;Óptica Visão Clara
PED-1041;03/06/2026;3.670,42;Clínica Bem Estar
PED-1042;15/06/2026;1.128,76;Óptica Visão Clara
PED-1043;30/06/2026;704,78;Mercearia São Jorge
PED-1044;22/06/2026;4.062,91;Clínica Bem Estar
PED-1045;01/06/2026;1.726,52;Restaurante Canto Mineiro
PED-1046;17/06/2026;2.142,84;Pet Shop Focinho Feliz
PED-1047;07/06/2026;501,74;Mercearia São Jorge
PED-1048;06/06/2026;1.600,58;Studio Pilates Norte
PED-1049;07/06/2026;3.781,99;Pet Shop Focinho Feliz
PED-1050;18/06/2026;842,84;Livraria Página Viva
PED-1051;17/06/2026;813,61;Academia Corpo Ativo
PED-1052;08/06/2026;1.454,69;Clínica Bem Estar
PED-1053;25/06/2026;1.797,81;Mercearia São Jorge
PED-1054;18/06/2026;3.536,93;Padaria Trigo Dourado
PED-1055;13/06/2026;3.208,03;Academia Corpo Ativo
PED-1056;25/06/2026;4.413,59;Clínica Bem Estar
PED-1057;07/06/2026;1.311,85;Academia Corpo Ativo
PED-1058;25/06/2026;1.897,04;Óptica Visão Clara
PED-1059;28/06/2026;2.493,81;Floricultura Jardim
PED-1060;08/06/2026;957,23;Pet Shop Focinho Feliz
PED-1061;28/06/2026;1.844,85;Pet Shop Focinho Feliz
PED-1062;28/06/2026;2.498,37;Óptica Visão Clara
PED-1063;08/06/2026;4.719,65;Studio Pilates Norte
PED-1064;02/06/2026;1.404,80;Barbearia Navalha
